ID,Nombre,Entrada,ID_Asiento,VIP
227,Asistente_227,no,,si
228,Asistente_228,si,1249,no
229,Asistente_229,no,,no
230,Asistente_230,no,,si
231,Asistente_231,no,,no
232,Asistente_232,no,,si
233,Asistente_233,no,,si
234,Asistente_234,si,1793,no
235,Asistente_235,si,1644,si
236,Asistente_236,si,1767,no
237,Asistente_237,no,,no
238,Asistente_238,si,1888,no
239,Asistente_239,si,929,no
240,Asistente_240,si,1902,si
241,Asistente_241,no,,si
242,Asistente_242,no,,no
243,Asistente_243,si,434,si
244,Asistente_244,no,,si
245,Asistente_245,no,,si
246,Asistente_246,si,1955,si
247,Asistente_247,si,1992,si
248,Asistente_248,si,159,si
249,Asistente_249,no,,si
250,Asistente_250,no,,no
251,Asistente_251,si,292,no
252,Asistente_252,si,1143,no
253,Asistente_253,no,,no
254,Asistente_254,si,518,si
255,Asistente_255,no,,no
256,Asistente_256,si,868,no
257,Asistente_257,no,,si
258,Asistente_258,no,,no
259,Asistente_259,no,,no
260,Asistente_260,no,,si
261,Asistente_261,si,406,si
262,Asistente_262,no,,no
263,Asistente_263,si,345,si
264,Asistente_264,si,50,no
265,Asistente_265,no,,no
266,Asistente_266,si,457,no
267,Asistente_267,no,,no
268,Asistente_268,si,1203,no
269,Asistente_269,si,1167,si
270,Asistente_270,no,,no
271,Asistente_271,si,747,si
272,Asistente_272,si,327,si
273,Asistente_273,no,,si
274,Asistente_274,no,,si
275,Asistente_275,no,,no
276,Asistente_276,si,1019,no
277,Asistente_277,si,589,no
278,Asistente_278,no,,si
279,Asistente_279,si,740,si
280,Asistente_280,no,,si
281,Asistente_281,no,,si
282,Asistente_282,si,472,si
283,Asistente_283,no,,no
284,Asistente_284,no,,no
285,Asistente_285,si,1347,si
286,Asistente_286,no,,no
287,Asistente_287,si,781,no
288,Asistente_288,no,,si
289,Asistente_289,si,319,no
290,Asistente_290,si,648,no
291,Asistente_291,si,676,si
292,Asistente_292,si,740,no
293,Asistente_293,no,,no
294,Asistente_294,si,765,si
295,Asistente_295,si,1304,no
296,Asistente_296,no,,no
297,Asistente_297,no,,si
298,Asistente_298,si,1712,si
299,Asistente_299,no,,si
300,Asistente_300,no,,si
301,Asistente_301,no,,no
302,Asistente_302,si,1716,si
303,Asistente_303,no,,no
304,Asistente_304,si,340,si
305,Asistente_305,si,1111,no
306,Asistente_306,no,,si
307,Asistente_307,no,,si
308,Asistente_308,si,1347,si
309,Asistente_309,si,1958,si
310,Asistente_310,si,1682,si
311,Asistente_311,si,686,si
312,Asistente_312,si,1694,no
313,Asistente_313,si,1717,si
314,Asistente_314,no,,si
315,Asistente_315,si,1752,no
316,Asistente_316,no,,si
317,Asistente_317,si,935,no
318,Asistente_318,no,,no
319,Asistente_319,si,1924,no
320,Asistente_320,si,1836,si
321,Asistente_321,no,,si
322,Asistente_322,no,,si
323,Asistente_323,si,1323,si
324,Asistente_324,si,466,no
325,Asistente_325,no,,si
326,Asistente_326,si,788,si
327,Asistente_327,no,,no
328,Asistente_328,si,287,si
329,Asistente_329,no,,no
330,Asistente_330,si,928,si
331,Asistente_331,no,,si
332,Asistente_332,si,1303,no
333,Asistente_333,si,482,si
334,Asistente_334,no,,si
335,Asistente_335,si,1570,si
336,Asistente_336,no,,si
337,Asistente_337,si,1061,no
338,Asistente_338,no,,no
339,Asistente_339,si,264,no
340,Asistente_340,no,,si
341,Asistente_341,si,1049,si
342,Asistente_342,no,,no
343,Asistente_343,si,695,no
344,Asistente_344,no,,si
345,Asistente_345,no,,si
346,Asistente_346,si,973,si
347,Asistente_347,si,746,no
348,Asistente_348,si,119,si
349,Asistente_349,si,1120,no
350,Asistente_350,si,1767,si
351,Asistente_351,si,1427,no
352,Asistente_352,no,,no
353,Asistente_353,si,1907,no
354,Asistente_354,no,,no
355,Asistente_355,no,,si
356,Asistente_356,no,,no
357,Asistente_357,si,88,si
358,Asistente_358,si,2,si
359,Asistente_359,no,,no
360,Asistente_360,no,,si
361,Asistente_361,si,37,si
362,Asistente_362,no,,si
363,Asistente_363,si,489,no
364,Asistente_364,no,,si
365,Asistente_365,no,,si
366,Asistente_366,si,1098,no
367,Asistente_367,si,432,si
368,Asistente_368,si,1924,si
369,Asistente_369,no,,si
370,Asistente_370,no,,si
371,Asistente_371,si,1748,si
372,Asistente_372,no,,si
373,Asistente_373,no,,no
374,Asistente_374,no,,si
375,Asistente_375,si,1793,no
376,Asistente_376,si,433,si
377,Asistente_377,no,,no
378,Asistente_378,no,,si
379,Asistente_379,no,,no
380,Asistente_380,no,,si
381,Asistente_381,no,,no
382,Asistente_382,no,,no
383,Asistente_383,no,,no
384,Asistente_384,no,,no
385,Asistente_385,si,796,si
386,Asistente_386,no,,si
387,Asistente_387,no,,si
388,Asistente_388,no,,si
389,Asistente_389,si,471,si
390,Asistente_390,si,258,si
391,Asistente_391,no,,si
392,Asistente_392,si,491,no
393,Asistente_393,no,,si
394,Asistente_394,no,,no
395,Asistente_395,si,1694,no
396,Asistente_396,no,,si
397,Asistente_397,si,1166,si
398,Asistente_398,no,,no
399,Asistente_399,no,,si
400,Asistente_400,si,928,si
401,Asistente_401,si,1015,si
402,Asistente_402,si,1537,si
403,Asistente_403,no,,si
404,Asistente_404,no,,no
405,Asistente_405,no,,si
406,Asistente_406,no,,no
407,Asistente_407,si,252,si
408,Asistente_408,no,,si
409,Asistente_409,no,,si
410,Asistente_410,si,312,si
411,Asistente_411,no,,si
412,Asistente_412,si,1515,si
413,Asistente_413,si,278,no
414,Asistente_414,no,,si
415,Asistente_415,si,741,si
416,Asistente_416,si,1002,si
417,Asistente_417,no,,no
418,Asistente_418,no,,si
419,Asistente_419,si,261,no
420,Asistente_420,si,1246,si
421,Asistente_421,si,284,no
422,Asistente_422,si,591,no
423,Asistente_423,no,,no
424,Asistente_424,no,,si
425,Asistente_425,no,,si
426,Asistente_426,si,247,no
427,Asistente_427,si,1487,no
428,Asistente_428,si,1444,no
429,Asistente_429,no,,no
430,Asistente_430,si,1304,no
431,Asistente_431,si,1972,no
432,Asistente_432,si,994,si
433,Asistente_433,no,,no
434,Asistente_434,no,,si
435,Asistente_435,si,413,si
436,Asistente_436,no,,no
437,Asistente_437,si,272,no
438,Asistente_438,no,,no
439,Asistente_439,si,130,si
440,Asistente_440,si,620,no
441,Asistente_441,si,971,si
442,Asistente_442,si,1848,si
443,Asistente_443,no,,si
444,Asistente_444,no,,si
445,Asistente_445,si,1282,si
446,Asistente_446,si,1294,no
447,Asistente_447,si,1917,si
448,Asistente_448,no,,si
449,Asistente_449,no,,si
450,Asistente_450,si,1782,si
451,Asistente_451,si,906,si
452,Asistente_452,no,,si
453,Asistente_453,no,,no
454,Asistente_454,si,1073,no
455,Asistente_455,si,1027,no
456,Asistente_456,si,1530,no
457,Asistente_457,si,871,si
458,Asistente_458,no,,no
459,Asistente_459,si,688,si
460,Asistente_460,no,,no
461,Asistente_461,no,,no
462,Asistente_462,no,,si
463,Asistente_463,no,,no
464,Asistente_464,si,15,no
465,Asistente_465,si,1123,si
466,Asistente_466,si,1272,no
467,Asistente_467,si,629,no
468,Asistente_468,si,364,si
469,Asistente_469,si,243,no
470,Asistente_470,no,,si
471,Asistente_471,no,,no
472,Asistente_472,si,893,no
473,Asistente_473,si,376,si
474,Asistente_474,no,,no
475,Asistente_475,no,,si
476,Asistente_476,no,,si
477,Asistente_477,no,,no
478,Asistente_478,si,1191,no
479,Asistente_479,si,886,si
480,Asistente_480,si,1867,si
481,Asistente_481,no,,no
482,Asistente_482,no,,si
483,Asistente_483,no,,no
484,Asistente_484,si,1119,si
485,Asistente_485,si,156,no
486,Asistente_486,si,950,no
487,Asistente_487,no,,si
488,Asistente_488,si,1353,no
489,Asistente_489,no,,no
490,Asistente_490,si,1228,no
491,Asistente_491,no,,si
492,Asistente_492,no,,no
493,Asistente_493,no,,si
494,Asistente_494,no,,si
495,Asistente_495,si,598,si
496,Asistente_496,si,721,si
497,Asistente_497,no,,no
498,Asistente_498,si,737,si
499,Asistente_499,si,1500,si
500,Asistente_500,si,286,si
501,Asistente_501,si,1709,no
502,Asistente_502,no,,si
503,Asistente_503,si,1122,no
504,Asistente_504,si,1888,no
505,Asistente_505,no,,si
506,Asistente_506,no,,si
507,Asistente_507,si,1695,no
508,Asistente_508,si,391,no
509,Asistente_509,si,1685,si
510,Asistente_510,no,,si
511,Asistente_511,si,211,si
512,Asistente_512,no,,si
513,Asistente_513,si,1045,no
514,Asistente_514,no,,si
515,Asistente_515,si,360,si
516,Asistente_516,si,673,no
517,Asistente_517,no,,si
518,Asistente_518,no,,si
519,Asistente_519,si,246,no
520,Asistente_520,no,,si
521,Asistente_521,si,623,si
522,Asistente_522,no,,si
523,Asistente_523,no,,no
524,Asistente_524,no,,no
525,Asistente_525,si,93,no
526,Asistente_526,si,799,si
527,Asistente_527,no,,no
528,Asistente_528,no,,si
529,Asistente_529,si,902,no
530,Asistente_530,si,96,no
531,Asistente_531,si,957,no
532,Asistente_532,si,1709,no
533,Asistente_533,no,,si
534,Asistente_534,si,1479,si
535,Asistente_535,si,904,no
536,Asistente_536,no,,no
537,Asistente_537,si,1808,no
538,Asistente_538,no,,si
539,Asistente_539,no,,si
540,Asistente_540,si,571,no
541,Asistente_541,si,685,si
542,Asistente_542,si,1110,si
543,Asistente_543,no,,si
544,Asistente_544,si,99,si
545,Asistente_545,si,228,no
546,Asistente_546,si,612,no
547,Asistente_547,si,1386,no
548,Asistente_548,si,1783,si
549,Asistente_549,no,,no
550,Asistente_550,no,,no
551,Asistente_551,no,,si
552,Asistente_552,si,164,si
553,Asistente_553,no,,si
554,Asistente_554,si,1367,si
555,Asistente_555,no,,no
556,Asistente_556,no,,si
557,Asistente_557,no,,no
558,Asistente_558,no,,si
559,Asistente_559,no,,no
560,Asistente_560,no,,no
561,Asistente_561,si,1931,no
562,Asistente_562,no,,si
563,Asistente_563,no,,si
564,Asistente_564,si,1410,si
565,Asistente_565,si,500,no
566,Asistente_566,si,803,no
567,Asistente_567,no,,no
568,Asistente_568,si,121,si
569,Asistente_569,no,,no
570,Asistente_570,si,1194,no
571,Asistente_571,si,1994,no
572,Asistente_572,si,1680,si
573,Asistente_573,no,,si
574,Asistente_574,si,556,no
575,Asistente_575,no,,si
576,Asistente_576,no,,si
577,Asistente_577,no,,no
578,Asistente_578,si,1205,si
579,Asistente_579,si,607,si
580,Asistente_580,si,238,si
581,Asistente_581,no,,si
582,Asistente_582,si,992,si
583,Asistente_583,no,,no
584,Asistente_584,si,853,si
585,Asistente_585,si,1260,no
586,Asistente_586,si,1043,si
587,Asistente_587,si,484,si
588,Asistente_588,no,,si
589,Asistente_589,si,1685,no
590,Asistente_590,no,,no
591,Asistente_591,si,844,no
592,Asistente_592,si,541,si
593,Asistente_593,no,,no
594,Asistente_594,si,1031,no
595,Asistente_595,si,1673,no
596,Asistente_596,no,,si
597,Asistente_597,no,,no
598,Asistente_598,si,1223,si
599,Asistente_599,si,572,si
600,Asistente_600,no,,si
601,Asistente_601,si,1376,si
602,Asistente_602,si,1000,no
603,Asistente_603,si,324,no
604,Asistente_604,si,1945,no
605,Asistente_605,no,,no
606,Asistente_606,no,,si
607,Asistente_607,si,1910,si
608,Asistente_608,si,1387,no
609,Asistente_609,no,,no
610,Asistente_610,no,,si
611,Asistente_611,si,221,si
612,Asistente_612,no,,no
613,Asistente_613,si,1618,si
614,Asistente_614,no,,no
615,Asistente_615,no,,no
616,Asistente_616,no,,si
617,Asistente_617,no,,no
618,Asistente_618,si,278,si
619,Asistente_619,no,,no
620,Asistente_620,no,,si
621,Asistente_621,no,,no
622,Asistente_622,no,,si
623,Asistente_623,no,,si
624,Asistente_624,si,866,si
625,Asistente_625,no,,si
626,Asistente_626,si,1517,si
627,Asistente_627,no,,no
628,Asistente_628,si,284,si
629,Asistente_629,si,1014,si
630,Asistente_630,no,,no
631,Asistente_631,no,,no
632,Asistente_632,no,,si
633,Asistente_633,no,,si
634,Asistente_634,no,,si
635,Asistente_635,no,,no
636,Asistente_636,no,,si
637,Asistente_637,no,,no
638,Asistente_638,si,1765,no
639,Asistente_639,no,,no
640,Asistente_640,no,,no
641,Asistente_641,no,,si
642,Asistente_642,no,,si
643,Asistente_643,no,,no
644,Asistente_644,si,1449,si
645,Asistente_645,no,,no
646,Asistente_646,no,,si
647,Asistente_647,no,,si
648,Asistente_648,no,,no
649,Asistente_649,si,805,no
650,Asistente_650,no,,no
651,Asistente_651,no,,no
652,Asistente_652,si,592,no
653,Asistente_653,si,257,si
654,Asistente_654,si,635,si
655,Asistente_655,no,,no
656,Asistente_656,si,1337,no
657,Asistente_657,si,844,no
658,Asistente_658,no,,si
659,Asistente_659,si,1867,si
660,Asistente_660,si,761,no
661,Asistente_661,no,,no
662,Asistente_662,si,543,no
663,Asistente_663,si,429,si
664,Asistente_664,si,1106,no
665,Asistente_665,si,1001,si
666,Asistente_666,si,551,si
667,Asistente_667,no,,no
668,Asistente_668,no,,si
669,Asistente_669,si,251,no
670,Asistente_670,no,,si
671,Asistente_671,no,,no
672,Asistente_672,no,,no
673,Asistente_673,si,1779,si
674,Asistente_674,si,1757,si
675,Asistente_675,no,,no
676,Asistente_676,no,,no
677,Asistente_677,si,1899,si
678,Asistente_678,no,,no
679,Asistente_679,no,,si
680,Asistente_680,si,634,no
681,Asistente_681,no,,si
682,Asistente_682,no,,no
683,Asistente_683,si,218,no
684,Asistente_684,si,1815,si
685,Asistente_685,no,,no
686,Asistente_686,no,,si
687,Asistente_687,no,,si
688,Asistente_688,si,89,si
689,Asistente_689,no,,si
690,Asistente_690,no,,si
691,Asistente_691,no,,no
692,Asistente_692,si,820,si
693,Asistente_693,no,,si
694,Asistente_694,no,,si
695,Asistente_695,no,,no
696,Asistente_696,no,,no
697,Asistente_697,si,1982,si
698,Asistente_698,no,,si
699,Asistente_699,si,1316,si
700,Asistente_700,si,1519,si
701,Asistente_701,no,,si
702,Asistente_702,si,584,no
703,Asistente_703,no,,si
704,Asistente_704,si,966,si
705,Asistente_705,no,,si
706,Asistente_706,no,,si
707,Asistente_707,no,,no
708,Asistente_708,no,,si
709,Asistente_709,no,,no
710,Asistente_710,no,,si
711,Asistente_711,no,,no
712,Asistente_712,si,901,si
713,Asistente_713,si,1401,no
714,Asistente_714,si,1495,si
715,Asistente_715,no,,no
716,Asistente_716,no,,no
717,Asistente_717,no,,si
718,Asistente_718,no,,no
719,Asistente_719,si,527,no
720,Asistente_720,si,1931,no
721,Asistente_721,si,74,si
722,Asistente_722,no,,no
723,Asistente_723,no,,no
724,Asistente_724,no,,si
725,Asistente_725,si,115,si
726,Asistente_726,si,1138,no
727,Asistente_727,no,,no
728,Asistente_728,no,,si
729,Asistente_729,no,,no
730,Asistente_730,no,,si
731,Asistente_731,si,1808,no
732,Asistente_732,si,1044,no
733,Asistente_733,si,1457,no
734,Asistente_734,si,1758,no
735,Asistente_735,no,,no
736,Asistente_736,no,,no
737,Asistente_737,no,,no
738,Asistente_738,si,1538,si
739,Asistente_739,si,441,no
740,Asistente_740,si,1523,si
741,Asistente_741,si,350,si
742,Asistente_742,no,,no
743,Asistente_743,no,,no
744,Asistente_744,no,,si
745,Asistente_745,no,,no
746,Asistente_746,no,,si
747,Asistente_747,no,,si
748,Asistente_748,no,,si
749,Asistente_749,si,1216,no
750,Asistente_750,no,,si
751,Asistente_751,no,,no
752,Asistente_752,no,,no
753,Asistente_753,si,658,no
754,Asistente_754,no,,no
755,Asistente_755,si,1172,no
756,Asistente_756,si,1619,no
757,Asistente_757,no,,no
758,Asistente_758,no,,no
759,Asistente_759,no,,no
760,Asistente_760,si,1596,si
761,Asistente_761,no,,si
762,Asistente_762,no,,si
763,Asistente_763,si,1794,si
764,Asistente_764,si,914,no
765,Asistente_765,si,801,no
766,Asistente_766,si,1090,si
767,Asistente_767,no,,si
768,Asistente_768,no,,no
769,Asistente_769,si,1339,no
770,Asistente_770,no,,si
771,Asistente_771,no,,si
772,Asistente_772,no,,si
773,Asistente_773,no,,si
774,Asistente_774,si,594,si
775,Asistente_775,no,,no
776,Asistente_776,si,877,si
777,Asistente_777,no,,no
778,Asistente_778,si,1722,no
779,Asistente_779,si,956,si
780,Asistente_780,si,233,si
781,Asistente_781,si,941,si
782,Asistente_782,no,,si
783,Asistente_783,si,655,no
784,Asistente_784,si,772,no
785,Asistente_785,si,50,si
786,Asistente_786,no,,no
787,Asistente_787,si,663,si
788,Asistente_788,no,,no
789,Asistente_789,si,1552,si
790,Asistente_790,si,722,si
791,Asistente_791,no,,si
792,Asistente_792,no,,no
793,Asistente_793,no,,si
794,Asistente_794,no,,no
795,Asistente_795,si,1961,si
796,Asistente_796,si,1459,si
797,Asistente_797,no,,si
798,Asistente_798,no,,no
799,Asistente_799,no,,si
800,Asistente_800,si,1755,no
801,Asistente_801,si,347,si
802,Asistente_802,si,1622,si
803,Asistente_803,no,,si
804,Asistente_804,no,,si
805,Asistente_805,si,1775,si
806,Asistente_806,si,1317,no
807,Asistente_807,no,,no
808,Asistente_808,si,1869,no
809,Asistente_809,no,,si
810,Asistente_810,si,1669,no
811,Asistente_811,si,289,no
812,Asistente_812,si,1806,si
813,Asistente_813,no,,no
814,Asistente_814,si,444,si
815,Asistente_815,no,,no
816,Asistente_816,no,,si
817,Asistente_817,si,604,si
818,Asistente_818,si,1587,no
819,Asistente_819,no,,si
820,Asistente_820,si,380,si
821,Asistente_821,si,1259,no
822,Asistente_822,si,1720,si
823,Asistente_823,no,,si
824,Asistente_824,si,65,no
825,Asistente_825,no,,no
826,Asistente_826,si,1009,no
827,Asistente_827,si,726,no
828,Asistente_828,no,,si
829,Asistente_829,no,,si
830,Asistente_830,si,1858,no
831,Asistente_831,no,,si
832,Asistente_832,no,,si
833,Asistente_833,si,1978,si
834,Asistente_834,si,106,si
835,Asistente_835,no,,si
836,Asistente_836,no,,no
837,Asistente_837,si,1778,no
838,Asistente_838,no,,no
839,Asistente_839,no,,no
840,Asistente_840,no,,no
841,Asistente_841,no,,si
842,Asistente_842,no,,no
843,Asistente_843,si,1776,si
844,Asistente_844,si,707,si
845,Asistente_845,si,1438,no
846,Asistente_846,si,877,si
847,Asistente_847,si,1130,si
848,Asistente_848,no,,no
849,Asistente_849,no,,no
850,Asistente_850,si,120,no
851,Asistente_851,no,,no
852,Asistente_852,si,564,no
853,Asistente_853,si,1029,no
854,Asistente_854,si,789,si
855,Asistente_855,si,1531,si
856,Asistente_856,si,585,no
857,Asistente_857,no,,si
858,Asistente_858,si,1393,no
859,Asistente_859,si,255,no
860,Asistente_860,si,1516,si
861,Asistente_861,si,1156,no
862,Asistente_862,si,1697,no
863,Asistente_863,no,,si
864,Asistente_864,no,,no
865,Asistente_865,si,998,si
866,Asistente_866,si,558,no
867,Asistente_867,no,,si
868,Asistente_868,no,,si
869,Asistente_869,si,922,si
870,Asistente_870,no,,no
871,Asistente_871,no,,si
872,Asistente_872,no,,no
873,Asistente_873,si,1181,si
874,Asistente_874,no,,no
875,Asistente_875,si,971,si
876,Asistente_876,no,,no
877,Asistente_877,si,256,no
878,Asistente_878,no,,si
879,Asistente_879,si,1666,no
880,Asistente_880,si,1477,si
881,Asistente_881,si,1417,no
882,Asistente_882,no,,no
883,Asistente_883,no,,si
884,Asistente_884,no,,no
885,Asistente_885,no,,no
886,Asistente_886,si,1565,no
887,Asistente_887,si,456,si
888,Asistente_888,no,,si
889,Asistente_889,si,151,si
890,Asistente_890,si,926,si
891,Asistente_891,no,,si
892,Asistente_892,si,166,si
893,Asistente_893,no,,no
894,Asistente_894,no,,no
895,Asistente_895,no,,no
896,Asistente_896,no,,no
897,Asistente_897,si,335,no
898,Asistente_898,si,388,no
899,Asistente_899,si,1166,si
900,Asistente_900,si,543,si
901,Asistente_901,no,,si
902,Asistente_902,si,1028,si
903,Asistente_903,si,1309,no
904,Asistente_904,no,,si
905,Asistente_905,si,361,si
906,Asistente_906,no,,si
907,Asistente_907,no,,si
908,Asistente_908,si,26,si
909,Asistente_909,no,,si
910,Asistente_910,si,1910,no
911,Asistente_911,si,230,si
912,Asistente_912,no,,no
913,Asistente_913,no,,no
914,Asistente_914,si,1589,no
915,Asistente_915,si,197,si
916,Asistente_916,si,888,si
917,Asistente_917,si,1273,si
918,Asistente_918,si,1838,si
919,Asistente_919,si,1955,no
920,Asistente_920,si,1705,no
921,Asistente_921,no,,no
922,Asistente_922,no,,no
923,Asistente_923,si,1074,si
924,Asistente_924,no,,no
925,Asistente_925,si,1422,si
926,Asistente_926,no,,si
927,Asistente_927,no,,no
928,Asistente_928,si,954,si
929,Asistente_929,si,1556,si
930,Asistente_930,no,,si
931,Asistente_931,si,1406,no
932,Asistente_932,si,681,si
933,Asistente_933,no,,si
934,Asistente_934,no,,si
935,Asistente_935,si,339,si
936,Asistente_936,si,121,si
937,Asistente_937,si,923,si
938,Asistente_938,no,,no
939,Asistente_939,si,93,no
940,Asistente_940,no,,si
941,Asistente_941,no,,no
942,Asistente_942,no,,no
943,Asistente_943,no,,no
944,Asistente_944,si,514,no
945,Asistente_945,no,,no
946,Asistente_946,no,,si
947,Asistente_947,si,178,no
